first_name,last_name,middle_name,nickname,dob,age,address,zipcode,phone,email,property_ownership,occupation,employer,job_title,salary,education,highest_degree,retirement_savings,favorite_food,allergies,catchphrase,defining_features,skills,marital_status,spouse,children,parents,siblings,pets,friends,group_affiliation
Ernst,Cretin,N/A,Ernst,1905-01-01,100,Springfield Retirement Castle,90701,N/A,N/A,None,Retired,Varies,Former Vaudeville Performer,"$8,000",Drop-out,N/A,$0,Prunes,N/A,N/A,Identical Twin,Nostalgia,Single,N/A,0,N/A / N/A,Gunter Cretin,N/A,"Gunter Cretin, Abraham Simpson",Retirement Home Residents
Gunter,Cretin,N/A,Gunter,1905-01-01,100,Springfield Retirement Castle,90701,N/A,N/A,None,Retired,Varies,Former Vaudeville Performer,"$8,000",Drop-out,N/A,$0,Prunes,N/A,N/A,Identical Twin,Nostalgia,Single,N/A,0,N/A / N/A,Ernst Cretin,N/A,"Ernst Cretin, Abraham Simpson",Retirement Home Residents
Helen,Lovejoy,N/A,Helen,1958-03-01,47,Parsonage,90701,555-0106,helen@fcs.org,Owns,Homemaker/Gossiper,N/A,N/A,"$5,000",College Graduate,N/A,"$80,000",Casseroles,N/A,Won't somebody please think of the children?!,"Big Glasses, Loud Voice","Gossip, Moral Panic",Married,Timothy Lovejoy,1,N/A / N/A,N/A,N/A,"Maude Flanders (Deceased), Marge Simpson",Church Social Committee
Homer,Simpson,Jay,Homer,1956-05-12,39,742 Evergreen Terrace,90701,555-0101,chunkylover53@aol.com,Owns,Nuclear Safety Inspector,Springfield Nuclear Power Plant,Sector 7G Safety Inspector,"$45,000",High School Diploma,Vocational Training,$12.50,Donuts & Beer,Shellfish,D'oh!,"Bald, Yellow Skin","Eating, Sleeping",Married,Marjorie Simpson,3,Mona Simpson/Abraham Simpson,"Herbert Powell, George",Santa's Little Helper (Dog),"Barney Gumble, Lenny Leonard, Carl Carlson",Stonecutters
Jasper,Beardley,N/A,Jasper,1908-11-25,97,Springfield Retirement Castle,90701,N/A,N/A,None,Retired,Varies,Former Shopkeeper,"$10,000",High School Diploma,N/A,"$5,000",Liver,N/A,"I'm gonna go to the store, and get some ice cream!",Long White Beard,"Walking with Cane, Being Old",Single,N/A,0,N/A / N/A,N/A,N/A,Abraham Simpson,Retirement Home Residents
Jimbo,Jones,N/A,Jimbo,1978-05-20,14,1500 Miscreant Way,90701,555-0116,jimbo@bullymail.net,Lives with Parents,Student/Bully,Springfield High School,9th Grade Student,$0,Middle School Student,N/A,$0,Cheez-Its,Soap,Uh huh huh huh!,"Knit Cap, Mocking Voice",Intimidation,Single,N/A,0,N/A / N/A,N/A,N/A,"Nelson Muntz, Dolph Starbeam, Kearney Zzyzwicz",School Bullies
Joe,Quimby,Fitzgerald,Mayor Quimby,1955-06-05,50,Mayoral Mansion,90701,555-0124,mayor@https://www.google.com/search?q=springfieldgov.com,Owns,Politician/Mayor,City of Springfield,Mayor,"$150,000",College Graduate,Political Science,"$500,000",Lobster Thermidor,Accountability,Vote Quimby!,"Slicked Hair, Sash","Corruption, Public Speaking",Married,Martha Quimby,1,N/A / N/A,Freddie Quimby,N/A,Fat Tony (Acquaintance),Political Elite
Julius,Hibbert,J,Dr. Hibbert,1960-01-20,45,1200 Health Way,90701,555-0123,drhibbert@springfieldmed.org,Owns,Physician,Springfield General Hospital,General Practitioner/Pediatrician,"$250,000",Ph.D./M.D.,Medicine,"$1,500,000",Turkey,N/A,Heh-heh-heh (Chuckles),"Dark Skin, Chuckles",Medical Practice,Married,Bernice Hibbert,3,N/A / N/A,N/A,N/A,Dr. Nick Riviera (Rival),Medical Association
Kearney,Zzyzwicz,T,Kearney,1970-07-04,25,Homeless/Varies,90701,555-0118,kearney@dropout.net,None,Student (Perpetual)/Bully,Springfield Elementary (Varies),Varies,$0,Drop-out,N/A,$0,Cheap Beer,Respect,You call that a beatdown?,Shaved Head,"Fathering Children, Driving",Divorced,N/A,1,N/A / N/A,N/A,N/A,"Jimbo Jones, Nelson Muntz, Dolph Starbeam",School Bullies
Kent,Brockman,N/A,Kent,1950-01-07,55,100 Anchor Way,90701,555-0134,kent@https://www.google.com/search?q=channel6.com,Owns,News Anchor,Channel 6 News,Lead Anchor,"$180,000",College Graduate,Journalism,"$500,000",Caviar,Ethics,This just in!,"Silver Hair, Suit","Sensationalism, Dramatics",Married,Stephanie Brockman,1,N/A / N/A,N/A,N/A,N/A,Media Guild
Kirk,Van Houten,N/A,Kirk,1960-12-05,45,4302 Arbor Street,90701,555-0109,kirk@crackers.net,Rents,Unemployed/Box Factory,Varies,Former Cracker Factory Manager,"$15,000",High School Diploma,N/A,"$5,000",Dried Crackers,N/A,Can I borrow a feeling?,"Balding, Sad Expression",Being Pathetic,Divorced,Luann Van Houten,1,N/A / N/A,N/A,N/A,N/A,N/A
Krusty,Krustofsky,JoJo,Krusty the Clown,1957-07-25,42,Krusty Residence,90701,555-0107,krusty@krustyland.com,Owns,TV Personality/Entrepreneur,KrustyCorp/Krusty Burger,Clown/CEO,"$2,000,000",Drop-out,N/A,"$500,000",Cigarettes & Whiskey,Shellfish,Hey-Hey!,"Green/Blue Hair, Clown Makeup",Stand-up Comedy,Divorced (Multiple Times),N/A,1,Rabbi Hyman Krustofsky/N/A,N/A,N/A,Sideshow Mel,Entertainment Guild
Lenny,Leonard,N/A,Lenny,1960-09-18,45,545 Budding Ave,90701,555-0114,lenny@powerplant.com,Rents,Nuclear Technician,Springfield Nuclear Power Plant,Operator/Technical Support,"$48,000",Community College,N/A,"$80,000","Beer, Donuts",Getting hit in the eye,"Oh, my god, I don't even know what to say.",Circular Glasses,"Drinking, Being Unlucky",Single,N/A,0,N/A / N/A,N/A,N/A,"Homer Simpson, Carl Carlson, Barney Gumble",Stonecutters
Lionel,Hutz,T,Mr. Hutz,1955-09-08,50,"Varies (Office, Homeless)",90701,555-0132,lionel@lawyer.com,None,Attorney at Law,Self-Employed (I Can't Believe It's a Law Firm!),Lawyer/Babysitter/Shoemaker,"$25,000",Law School,Law,"$2,000","Scotch, Chewing Gum",Ethics,Works on a contingency basis! No money down!,Dishevelled Suit,Questionable Legal Advice,Divorced,Selma Bouvier (briefly),0,N/A / N/A,N/A,N/A,N/A,Legal Bar (Poor Standing)
Lisa,Simpson,Marie,Lisa,1982-05-09,8,742 Evergreen Terrace,90701,555-0101,lisasimpson@mensa.org,Lives with Parents,Student,Springfield Elementary School,2nd Grade Student,$0,Elementary Student,N/A,$0,Vegetarian Food,None,"If anyone asks, I'm at the library.","Spiky Hair, Necklace","Saxophone, Intellectualism",Single,N/A,0,Homer Simpson/Marjorie Simpson,"Bart Simpson, Maggie Simpson",Snowball II (Cat),Janey Powell,Mensa
Lu,N/A,N/A,Lou,1968-07-28,37,Police Barracks,90701,555-0130,lou@springfieldpolice.gov,Rents,Police Officer,Springfield Police Department,Sergeant,"$45,000",College Graduate,Criminal Justice,"$90,000",Coffee,N/A,"Chief, with all due respect...","Dark Skin, Uniform","Policing, Cynicism",Single,N/A,0,N/A / N/A,N/A,N/A,"Eddie, Chief Wiggum",Police Union
Luann,Van Houten,N/A,Luann,1962-09-15,43,4302 Arbor Street,90701,555-0109,luann@crackerdivorce.net,Owns,Cracker Factory Owner,Southern Cracker,CEO,"$70,000",College Graduate,Business,"$150,000",Gourmet Crackers,N/A,N/A,Red Dress,Assertiveness,Divorced,Kirk Van Houten,1,N/A / N/A,N/A,N/A,N/A,N/A
Margaret,Simpson,N/A,Maggie,1988-02-19,1,742 Evergreen Terrace,90701,555-0101,N/A,Lives with Parents,Infant,N/A,N/A,$0,Infant,N/A,$0,Pacifier,None,Suck-suck (Pacifier),"Bow in Hair, Pacifier","Marksmanship, Rescue",Single,N/A,0,Homer Simpson/Marjorie Simpson,"Bart Simpson, Lisa Simpson",N/A,N/A,N/A
Marion,D'Amico,Anthony,Fat Tony,1950-02-02,55,1800 Mafia Row,90701,555-0136,tony@mob.org,Owns,Mob Boss,Springfield Mafia,Underboss,"$5,000,000",Drop-out,N/A,"$10,000,000",Cannoli,Morality,You see? My methods get results.,"Tuxedo, Goatee","Organized Crime, Intimidation",Single,N/A,1 (Michael),N/A / N/A,N/A,N/A,Mayor Quimby (Associate),Springfield Mafia
Marjorie,Simpson,N/A,Marge,1956-03-19,39,742 Evergreen Terrace,90701,555-0101,margey@springfield.net,Owns,Homemaker/Occasional Worker,"Various (e.g., The Happy Little Elves)",Homemaker/Artist,"$10,000",High School Diploma,Vocational Training,"$25,000",Pork Chops,Peanuts,Hmmmmm...,Blue Beehive Hair,Excellent Painting,Married,Homer Simpson,3,Jacqueline Bouvier/Clancy Bouvier,"Patty Bouvier, Selma Bouvier",Snowball II (Cat),"Helen Lovejoy, Maude Flanders (Deceased)",Bowling Team
Martin,Prince,P,Martin,1980-03-05,10,1022 Pembrooke Rd,90701,555-0111,prince@mensa.org,Lives with Parents,Student,Springfield Elementary School,4th Grade Student,$0,Elementary Student,N/A,$0,"Aspic, Pâté",Pen Ink,Egads!,"Swept Hair, Sweater Vest","Advanced Calculus, Flute",Single,N/A,0,N/A / N/A,N/A,N/A,Lisa Simpson,"Mensa, School Safety Patrol"
Mel,Van Horne,N/A,Sideshow Mel,1968-04-14,37,311 Backstage Dr,90701,555-0126,mel@https://www.google.com/search?q=krustyshow.com,Owns,Sideshow/Performer,Krusty the Clown Show,Sidekick,"$80,000",Ph.D.,Classical Theatre,"$150,000",Fine Wines,Peanuts,By the gods!,Bone in Hair,"Dramatic Monologues, Performance",Single,N/A,0,N/A / N/A,N/A,N/A,Krusty the Clown,Entertainment Guild
Milhouse,Van Houten,Mussolini,Milhouse,1980-07-01,10,4302 Arbor Street,90701,555-0109,milhouse@https://www.google.com/search?q=vanhouten.com,Lives with Parents,Student,Springfield Elementary School,4th Grade Student,$0,Elementary Student,N/A,$0,Crackers,"Dust, Dairy, Honey, Penicillin",Everything's coming up Milhouse!,"Thick Glasses, Blue Hair",Comic Book Trivia,Single,N/A,0,Kirk Van Houten/Luann Van Houten,N/A,N/A,Bart Simpson,Superfriends
Mindy,Shine,S,Mindy,1970-03-25,35,155 New Worker Ct,90701,555-0138,mindy@powerplant.com,Rents,Nuclear Technician,Springfield Nuclear Power Plant,Operator,"$47,000",College Graduate,Chemistry,"$35,000",Energy Bars,N/A,N/A,Red Hair,Professionalism,Single,N/A,0,N/A / N/A,N/A,N/A,Homer Simpson (briefly),Power Plant Staff
Moe,Szyslak,N/A,Moe,1960-10-24,45,Above Moe's Tavern,90701,555-0119,moe@tavernhouse.net,Owns (Business),Bartender/Bar Owner,Moe's Tavern,Proprietor,"$35,000",Drop-out,N/A,"$10,000",Cheap Hot Dogs,Happiness,What the hell are you lookin' at?,"Scarred Face, Mismatched clothes","Illegal Activities, Phone Pranks",Single,N/A,0,N/A / N/A,N/A,N/A,"Barney Gumble, Homer Simpson, Lenny Leonard, Carl Carlson",Barflies
Ned,Flanders,N/A,Ned,1952-04-20,60,740 Evergreen Terrace,90701,555-0102,neighborly@lefty.net,Owns,Shop Owner,The Leftorium,Proprietor,"$85,000",High School Diploma,N/A,"$800,000",Toast,Generic Antihistamines,Hi-diddly-ho!,"Moustache, Glasses",Extreme Niceness,Widower,Maude Flanders (Deceased),2,Mona Flanders/Ned Flanders Sr.,N/A,N/A,"Timothy Lovejoy, Principal Skinner",God Squad
Nelson,Muntz,Mandela,Nelson,1978-10-31,12,Shabby House (Changing Location),90701,555-0110,nelson@muntz.net,Lives with Parent,Student/Bully,Springfield Elementary School,5th Grade Student,$0,Elementary Student,N/A,$0,Mystery Meat,N/A,Ha-ha!,"T-Shirt, Feral Glare","Bullying, Throwing Rocks",Single,N/A,0,Eddie Muntz/Marilyn Muntz,N/A,N/A,"Jimbo Jones, Dolph Starbeam, Kearney Zzyzwicz",School Bullies
Otto,Mann,N/A,Otto,1965-08-01,40,School Bus/Varies,90701,555-0129,otto@busdriver.com,None,Bus Driver,Springfield Elementary School,Driver,"$30,000",Drop-out,N/A,$500,Anything Fried,Authority,All right!,"Long Hair, Headphones",Driving Under Duress,Single,N/A,0,N/A / N/A,N/A,N/A,Bart Simpson,Bus Driver's Union
Patty,Bouvier,N/A,Patty,1954-02-16,51,Spinster Towers Apartment,90701,555-0121,patty@dmv.gov,Rents,DMV Clerk,Springfield DMV,Clerk,"$38,000",High School Diploma,N/A,"$20,000","Cigarettes, Ash",Children,Hmmm.,"Smoker's Voice, Dry Hair","Bureaucracy, Smoking",Single,N/A,0,Jacqueline Bouvier/Clancy Bouvier,"Selma Bouvier, Marjorie Simpson",N/A,Selma Bouvier,DMV Staff
Ralph,Wiggum,N/A,Ralphie,1983-02-09,8,Wiggum Residence,90701,555-0105,ralphie@wiggum.gov,Rents (with Parents),Student,Springfield Elementary School,2nd Grade Student,$0,Elementary Student,N/A,$0,Glue,Invisible Dogs,I bent my wookiee!,"Unibrow, Simple Expressions",Unintentional Surrealism,Single,N/A,0,Clancy Wiggum/Sarah Wiggum,N/A,N/A,Lisa Simpson (Friendship is one-sided),N/A
Robert,Terwilliger,Underdunk,Sideshow Bob,1955-08-01,50,Springfield Penitentiary,90701,N/A,N/A,None,Criminal/Performer,Varies,Inmate (Primary),$0,Yale University,Classical Literature,$0,Filet Mignon,N/A,"Hello, Bart.",Large Red Hair,"Opera Singing, Criminal Mastermind",Married,Francesca Terwilliger,1,Dr. Robert Terwilliger Sr./Judith Terwilliger,Cecil Terwilliger,N/A,N/A,Criminal Fraternity
Rod,Flanders,N/A,Rod,1984-08-15,11,740 Evergreen Terrace,90701,555-0102,rod@lefty.net,Lives with Parent,Student,Springfield Elementary School,4th Grade Student,$0,Elementary Student,N/A,$0,White Bread,None,"Oh, dear.",Curly Hair,"Prayer, Compliance",Single,N/A,0,Ned Flanders/Maude Flanders (Deceased),Todd Flanders,N/A,Todd Flanders,God Squad
Selma,Bouvier,N/A,Selma,1954-02-16,51,Spinster Towers Apartment,90701,555-0122,selma@dmv.gov,Rents,DMV Clerk,Springfield DMV,Clerk,"$38,000",High School Diploma,N/A,"$20,000","Cigarettes, Ash",Marriage,"Oh, Marge.","Smoker's Voice, Dry Hair","Bureaucracy, Travel",Divorced (Multiple Times),"Sideshow Bob, Lionel Hutz (briefly)",1 (Ling),Jacqueline Bouvier/Clancy Bouvier,"Patty Bouvier, Marjorie Simpson",Jub-Jub (Iguana),Patty Bouvier,DMV Staff
Seymour,Skinner,Julius,Principal Skinner,1953-06-25,44,748 Evergreen Terrace,90701,555-0103,skinner@springfieldelem.edu,Rents (from Mother),School Principal,Springfield Elementary School,Principal,"$75,000",Master's Degree,Education Administration,"$150,000",Chowder,Dust,Good Lord!,Military Haircut,Vietnam Veteran Skills,Single,Agnes Skinner/Sheldon Skinner,N/A,N/A,Ned Flanders,Veterans' Group,,
Sherri,Mackelroy,N/A,Sherri,1982-01-01,8,215 Twin Lane,90701,555-0128,twins@selem.edu,Lives with Parents,Student,Springfield Elementary School,2nd Grade Student,$0,Elementary Student,N/A,$0,Gum,Bart,Oh my God!,"Purple Hair, Identical","Whispering, Giggle",Single,N/A,0,N/A / N/A,Terri Mackelroy,N/A,Terri Mackelroy,N/A
Terri,Mackelroy,N/A,Terri,1982-01-01,8,215 Twin Lane,90701,555-0128,twins@selem.edu,Lives with Parents,Student,Springfield Elementary School,2nd Grade Student,$0,Elementary Student,N/A,$0,Gum,Bart,Oh my God!,"Purple Hair, Identical","Whispering, Giggle",Single,N/A,0,N/A / N/A,Sherri Mackelroy,N/A,Sherri Mackelroy,N/A
Timothy,Lovejoy,N/A,Reverend Lovejoy,1958-11-20,48,Parsonage,90701,555-0106,rev@fcs.org,Owns,Minister,First Church of Springfield,Reverend,"$55,000",Master of Divinity,Theology,"$100,000",Missionary Stew,Happiness,Mmm... maybe.,"Black Suit, Glasses",Giving Half-Hearted Sermons,Married,Helen Lovejoy,1,N/A,N/A,N/A,Ned Flanders,Church Leadership
Todd,Flanders,N/A,Todd,1986-06-20,9,740 Evergreen Terrace,90701,555-0102,todd@lefty.net,Lives with Parent,Student,Springfield Elementary School,3rd Grade Student,$0,Elementary Student,N/A,$0,Dry Cereal,None,Jesus loves me!,Straight Hair,"Innocence, Compliance",Single,N/A,0,Ned Flanders/Maude Flanders (Deceased),Rod Flanders,N/A,Rod Flanders,God Squad
Waylon,Smithers,Jr.,Smithers,1960-05-15,45,1000 Private Estate Ln,90701,555-0127,smithers@powerplant.com,Owns,Executive Assistant,Springfield Nuclear Power Plant,Executive Vice President/Lackey,"$120,000",College Graduate,Business,"$700,000",Synthetic Nutrients,Germs,"Sir, yes sir!",Clean Cut,"Loyalty, Efficiency",Single,N/A,0,Waylon Smithers Sr./N/A,N/A,N/A,N/A,Mr. Burns (Obsession)
Willie,McDougal,N/A,Groundskeeper Willie,1950-04-17,55,School Shack,90701,555-0133,willie@selem.edu,Rents (On-site),Groundskeeper,Springfield Elementary School,Custodial Engineer,"$25,000",Drop-out,N/A,"$5,000","Haggis, Single Malt Scotch",Proper Hygiene,Ach!,"Red Hair, Scottish Accent","Extreme Strength, Wrestling, Pipe Repair",Single,N/A,0,N/A / N/A,N/A,N/A,N/A,Scottish Club
